"","occupati",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sum",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"085 S.Cristina Val Gardena",213,219,195,191,179,175,178,184,179,191,204,206,230,246,263,270,266,263,252,238,249,267,263,284,289,264,240,302,318
"086 Sarentino",93,84,102,108,121,121,133,149,186,190,205,200,236,279,274,278,301,316,310,320,295,272,268,268,265,259,291,323,306
"087 Scena",230,239,233,224,239,218,231,244,244,242,248,278,312,366,381,400,444,477,472,465,489,534,574,630,669,457,559,694,707
"088 Selva dei Molini",12,9,12,11,14,16,17,18,20,20,19,15,20,26,29,30,30,30,31,29,32,38,43,43,51,54,57,64,63
"089 Selva di Val Gardena",485,492,506,528,500,462,455,470,489,490,513,534,565,623,632,599,586,585,584,588,617,646,663,695,712,573,496,694,729
"091 Senales",73,81,64,58,58,61,66,74,74,68,79,90,87,86,84,87,86,82,79,72,78,79,88,99,100,88,96,114,108
"092 Sesto",150,156,156,158,168,173,174,182,189,195,208,206,229,261,246,233,234,226,235,244,262,269,263,295,299,258,227,306,311
"093 Silandro",996,1018,1086,1123,1161,1184,1219,1244,1293,1333,1373,1499,1710,1783,1828,1818,1848,1862,1868,1902,1899,1897,1929,1994,2041,2092,2147,2082,2059
"094 Sluderno",449,352,350,353,326,297,309,350,395,401,421,447,471,480,439,423,436,428,427,439,512,548,577,593,576,564,611,633,548
"095 Stelvio",112,101,95,93,95,97,97,102,115,116,120,118,113,135,153,152,143,142,135,140,134,146,153,144,147,112,95,140,148
"096 Terento",91,97,103,110,106,107,126,140,145,157,198,201,220,236,204,172,161,160,145,141,141,141,149,146,135,131,134,138,143
"097 Terlano",1072,1155,1200,1318,1351,1384,1431,1247,792,750,822,887,1001,1045,1035,1059,1098,1109,1131,1173,1169,1191,1236,1255,1277,1282,1283,1284,1293
"098 Termeno s.s.d.v.",243,264,267,291,309,298,295,368,442,499,544,572,610,660,630,596,601,616,606,570,590,625,631,645,686,689,738,776,793
"099 Tesimo",55,57,64,70,95,106,103,100,101,102,110,114,141,157,160,161,194,198,206,217,226,221,240,280,272,249,257,235,244
"100 Tires",28,30,33,32,35,33,33,33,33,30,35,42,46,43,41,45,58,60,60,55,51,70,89,100,98,84,85,96,98
"101 Tirolo",311,308,300,291,301,301,285,301,293,290,308,322,326,375,397,444,466,478,489,480,494,513,544,592,618,474,564,682,715
"102 Trodena nel parco naturale",41,47,51,51,54,58,62,69,68,67,71,78,80,78,72,72,67,67,71,101,105,117,135,153,168,164,166,181,185
"103 Tubre",24,23,24,27,23,24,22,21,23,22,27,30,33,39,41,45,40,38,38,38,42,43,43,42,57,49,47,61,64
"104 Ultimo",51,54,57,62,63,63,82,100,109,114,124,124,135,159,157,156,169,171,179,179,169,188,206,209,208,196,191,206,204
"105 Vadena",172,185,181,182,185,175,174,195,216,254,266,274,321,303,308,309,328,325,338,355,340,374,401,427,441,432,434,547,567
"106 Valdaora",250,262,260,275,300,326,398,424,434,442,457,459,503,530,538,537,559,549,561,550,569,608,644,657,665,621,631,717,753
"107 Val di Vizze",252,249,248,240,236,229,230,247,236,289,305,318,335,364,357,343,371,383,399,400,411,408,421,411,435,432,440,440,436
"108 Valle Aurina",182,181,183,189,198,216,237,249,257,269,257,273,289,311,304,290,305,309,327,339,370,400,450,455,498,437,455,502,518
"109 Valle di Casies",9,13,14,14,17,18,23,29,31,29,36,49,60,68,77,78,76,73,76,76,78,85,94,106,104,88,96,117,127
"110 Vandoies",212,203,209,205,211,234,260,309,319,327,342,344,343,328,316,332,342,329,323,316,308,315,334,348,358,374,412,423,404
"111 Varna",827,819,797,857,866,869,911,965,975,1010,1096,1141,1224,1283,1337,1355,1394,1441,1451,1478,1580,1692,1774,1852,1950,2007,2052,2102,2128
"112 Verano",19,22,27,32,31,33,35,34,40,45,46,50,65,68,66,68,65,61,63,65,67,75,82,66,56,54,57,58,62
"113 Villabassa",137,150,163,166,162,165,175,188,191,211,233,254,253,262,256,263,274,265,265,266,257,255,261,265,272,264,253,256,251
"114 Villandro",93,108,117,109,119,131,134,141,119,102,110,113,136,141,148,144,151,150,152,151,151,161,157,155,155,155,149,170,183
"115 Vipiteno",1633,1711,1767,1804,1794,1807,1829,1907,1957,1988,2043,2126,2217,2312,2381,2430,2487,2546,2571,2596,2580,2607,2627,2646,2698,2751,2767,2805,2793
"116 Velturno",89,102,109,123,125,133,150,158,152,145,144,150,178,192,197,201,211,209,209,223,232,233,245,266,280,269,286,303,299
"117 La Valle",32,35,37,39,42,42,44,44,49,48,47,48,57,67,74,88,97,104,111,121,130,141,145,144,157,159,172,184,189
"118 Senale-S.Felice",18,20,19,22,31,32,43,50,51,50,53,57,59,64,67,62,66,63,60,63,64,66,67,75,77,80,84,85,77
"888",1579,1028,899,832,741,698,655,602,539,489,449,412,378,349,326,305,295,294,290,244,36,36,34,62,77,78,68,58,54

