jj	Sesso	gem	disoccupati	dis1564
1999	M	21	9.2169226831	9.2169226831
1999	M	22	12.289247312	12.289247312
1999	M	23	8.1737711214	8.1737711214
1999	M	24	5.4488863287	5.1988863287
1999	M	25	1.3832885305	1.3832885305
1999	M	26	16.874622376	16.874622376
1999	M	27	13.53000512	13.53000512
1999	M	28	23.969310036	23.969310036
1999	M	29	10.060093446	10.060093446
1999	M	30	5.1357526882	5.1357526882
1999	M	31	14.582981311	14.582981311
1999	M	32	4.2866039427	4.2866039427
1999	M	33	9.4633384537	9.4633384537
1999	M	34	11.137954429	11.137954429
1999	M	35	4.6640488991	4.6640488991
1999	M	36	3.3115271377	3.3115271377
1999	M	37	14.495282898	14.495282898
1999	M	38	12.041001024	12.041001024
1999	M	39	5.5547491039	5.5547491039
1999	M	40	49.778033794	49.778033794
1999	M	41	43.932782898	43.932782898
1999	M	42	13.36436892	13.36436892
1999	M	43	1.4996415771	1.4996415771
1999	M	44	3.4131464414	3.4131464414
1999	M	45	3.1563108039	3.1563108039
1999	M	46	27.419438044	27.419438044
1999	M	47	14.854928315	14.854928315
1999	M	48	10.536610343	10.536610343
1999	M	49	6.6336917563	6.6336917563
1999	M	50	1.5776433692	1.5776433692
1999	M	51	262.48509985	260.8187916
1999	M	52	10.706362007	10.706362007
1999	M	53	5.603718638	5.603718638
1999	M	54	17.979595494	17.979595494
1999	M	55	6.8636968766	6.8636968766
1999	M	56	29.600576037	29.600576037
1999	M	57	2.6156810036	2.6156810036
1999	M	58	8.1498207885	8.1498207885
1999	M	59	17.993381976	17.993381976
1999	M	60	10.498828725	10.498828725
1999	M	61	16.977611367	16.977611367
1999	M	62	13.522241423	13.522241423
1999	M	63	5.4349270353	5.4349270353
1999	M	64	4.4603046595	4.4603046595
1999	M	65	1.4739247312	1.4739247312
1999	M	66	3.8782066052	3.8782066052
1999	M	67	20.035368664	20.035368664
1999	M	68	5.1477598566	5.1477598566
1999	M	69	0.4967741935	0.4967741935
1999	M	70	23.189695341	23.189695341
1999	M	71	14.691065028	14.691065028
1999	M	72	20.244796467	20.244796467
1999	M	73	8.4694572453	8.4694572453
1999	M	74	13.168292371	12.668292371
1999	M	75	2.5464157706	2.5464157706
1999	M	76	12.48936892	12.445014081
1999	M	77	22.873694316	22.873694316
1999	M	79	4.9130824373	4.9130824373
1999	M	80	26.870590118	26.870590118
1999	M	81	13.195954941	13.195954941
1999	M	82	12.648259089	12.648259089
1999	M	83	23.050249616	23.050249616
1999	M	84	7.4525409626	7.4525409626
1999	M	85	9.2591589862	9.2591589862
1999	M	86	24.09125064	24.09125064
1999	M	87	23.219674859	23.219674859
1999	M	88	7.3702252944	7.2246159754
1999	M	89	15.878046595	15.878046595
1999	M	91	7.5829749104	7.5829749104
1999	M	92	21.759856631	21.759856631
1999	M	93	17.079729903	17.079729903
1999	M	94	6.620110087	6.620110087
1999	M	95	7.2370967742	7.2370967742
1999	M	96	4.8083333333	4.8083333333
1999	M	97	13.146473374	13.146473374
1999	M	98	6.5330581157	6.5330581157
1999	M	99	6.013172043	6.013172043
1999	M	100	2.9199180748	2.5032514081
1999	M	101	18.216621864	18.216621864
1999	M	102	3.1741295443	3.1325524834
1999	M	103	3.6634856631	3.6634856631
1999	M	104	21.541129032	21.541129032
1999	M	105	2.3511648746	2.3511648746
1999	M	106	16.667069892	16.667069892
1999	M	107	16.406816436	16.406816436
1999	M	108	30.479288274	29.820954941
1999	M	109	11.328936252	11.328936252
1999	M	110	10.781432412	10.781432412
1999	M	111	15.96078469	15.96078469
1999	M	112	1.9640681004	1.9640681004
1999	M	113	8.2116103431	8.2116103431
1999	M	114	2.1352406554	2.1352406554
1999	M	115	38.308090118	38.308090118
1999	M	116	5.7339861751	5.7339861751
1999	M	117	5.8037634409	5.8037634409
1999	M	118	6.7234767025	6.7234767025
2000	F	1	7.8383512545	7.8383512545
2000	F	2	5.5266963293	5.5266963293
2000	F	3	2.3495519713	2.3495519713
2000	F	4	52.089429613	52.089429613
2000	F	5	6.4333333333	6.4333333333
2000	F	6	40.962223458	40.962223458
2000	F	7	5.2180571005	5.2180571005
2000	F	8	523.58054011	523.52910641
2000	F	9	2.0747311828	2.0747311828
2000	F	10	18.61155605	18.61155605
2000	F	11	94.298254233	94.298254233
2000	F	12	14.650083426	14.650083426
2000	F	13	101.48227969	101.48227969
2000	F	14	2.5775274997	2.5775274997
2000	F	15	41.651634532	41.651634532
2000	F	16	20.475101965	20.475101965
2000	F	17	45.015078482	44.908756643
2000	F	18	11.297571376	11.297571376
2000	F	19	49.545312693	49.067534915
2000	F	20	9.0448584847	9.0448584847
2000	F	21	17.347559016	17.347559016
2000	F	22	20.524669386	20.524669386
2000	F	23	12.786145099	12.786145099
2000	F	24	5.7920250896	5.7920250896
2000	F	25	1.0878136201	1.0878136201
2000	F	26	15.875896057	15.875896057
2000	F	27	12.304684217	12.304684217
2000	F	28	36.211043134	36.211043134
2000	F	29	14.185962798	14.185962798
2000	F	30	10.041784081	10.041784081
2000	F	31	21.727833395	21.727833395
2000	F	32	3.9005376344	3.9005376344
2000	F	33	9.629053887	9.629053887
2000	F	34	21.995640218	21.995640218
2000	F	35	7.6049314053	7.6049314053
2000	F	36	0.9042114695	0.9042114695
2000	F	37	23.218616364	23.218616364
2000	F	38	49.714179335	49.714179335
2000	F	39	10.941533803	10.941533803
2000	F	40	94.457548511	94.457548511
2000	F	41	88.53845322	88.53845322
2000	F	42	14.748146088	14.748146088
2000	F	43	1.1532258065	1.1532258065
2000	F	44	5.2328729452	5.2328729452
2000	F	45	3.070105673	3.070105673
2000	F	46	22.873306761	22.873306761
2000	F	47	22.252246323	22.252246323
2000	F	48	18.624134841	18.624134841
2000	F	49	9.6193548387	9.6193548387
2000	F	50	4.6643863552	4.6643863552
2000	F	51	321.49976517	321.21213076
